feature_id,feature_name,feature_status,feature_category,linked_sessions,linked_docs,linked_tasks,total_tasks,completed_tasks,sample_linked_docs,suggested_reason,reviewer_action,reviewer_notes
collections-remediate-v1,"Collections Remediation - Implementation Plan",backlog,remediation,0,0,10,10,0,,tasks_exist_but_no_session_path_match,,
context-entities-page-fix-v1,"Context Entities Page Fix - Implementation Plan",in-progress,bug-fix,0,0,0,0,0,,needs_manual_review,,
discovery-import-enhancement,"Discovery Import Enhancement",backlog,,0,0,65,65,53,,tasks_exist_but_no_session_path_match,,
manage-collection-tabs-filter-unification-v1,"Implementation Plan: /manage + /collection Tabs and Filter Bar Unification",backlog,harden-polish,0,0,0,0,0,,likely_doc_artifact_or_meta_feature,,
confidence-score-enhancements-v1,"Implementation Plan: Confidence Score Enhancements",in-progress,product-planning,0,1,40,40,36,implementation_plans/enhancements/confidence-score-enhancements-v1.md,likely_doc_artifact_or_meta_feature,,
entity-lifecycle-management-v1,"Implementation Plan: Entity Lifecycle Management",done,product-planning,0,10,0,0,0,"PRDs/enhancements/persistent-project-cache-v1.md | PRDs/enhancements/smart-import-discovery-v1.md | PRDs/enhancements/versioning-merge-system-v1.md",likely_doc_artifact_or_meta_feature,,
marketplace-sources-crud-enhancement-v1,"Implementation Plan: Marketplace GitHub Sources CRUD Enhancement",done,product-planning,0,1,0,0,0,PRDs/features/marketplace-source-detection-improvements-v1.md,likely_doc_artifact_or_meta_feature,,
notification-system-v1,"Implementation Plan: Notification System",done,implementation-plan,0,3,31,31,31,"PRDs/enhancements/discovery-import-enhancement-v1.md | PRDs/features/agent-context-entities-v1.md | implementation_plans/features/notification-system-v1.md",likely_doc_artifact_or_meta_feature,,
phase2-implementation-plan,"Implementation Plan: SkillMeat Phase 2 - Intelligence & Sync",backlog,,0,0,0,0,0,,likely_doc_artifact_or_meta_feature,,
versioning-merge-system-v1,"Implementation Plan: Versioning & Merge System",in-progress,product-planning,0,2,35,35,29,"PRDs/enhancements/versioning-merge-system-v1.5-state-tracking.md | implementation_plans/enhancements/versioning-merge-system-v1.md",likely_doc_artifact_or_meta_feature,,
ui-refresh-v1,"PRD: UI/UX Refresh and Design System Unification",backlog,,0,0,0,0,0,,likely_doc_artifact_or_meta_feature,,
prd-002-skillmeat-cli-skill,"Prd 002 Skillmeat Cli Skill",done,,0,0,19,19,19,,tasks_exist_but_no_session_path_match,,
versioning-analysis-index,"Skillmeat Sync System Analysis - Complete Documentation Index",done,,0,2,0,0,0,"PRDs/init/ph2-intelligence/integration-points.md | PRDs/init/ph2-intelligence/task-2.4-implementation.md",likely_doc_artifact_or_meta_feature,,
sourcing-algorithm-plugin-detection,"Sourcing Algorithm Plugin Detection",done,,0,0,7,7,7,,tasks_exist_but_no_session_path_match,,
integration-points,"Sync & Versioning System Integration Points",done,,0,2,0,0,0,"PRDs/init/ph2-intelligence/task-2.4-implementation.md | PRDs/init/ph2-intelligence/versioning-analysis-index.md",docs_linked_but_no_execution_signals,,
task-2.4-implementation,"TASK-2.4: Sync Version Tracking Implementation",done,,0,0,0,0,0,,needs_manual_review,,
